index,Condition Index,Condition Type,Stimuli Combination,target,distractor1,distractor2,distractor3,correct_answer,stimuli
22,b,Facilitation Condition Trials,categorized neutral word target + non-word distractor,window,djmrtb,djmrtb,djmrtb,m,"window,djmrtb,djmrtb,djmrtb"
45,c,Facilitation Condition Trials,non-word target + non-word distractor,szknnjbt,pxaciuj,pxaciuj,pxaciuj,z,"szknnjbt,pxaciuj,pxaciuj,pxaciuj"
34,e,Disengagement Condition Trials,non-word target + categorised neutral word distractor,ymrqjz,mantel,mantel,mantel,z,"ymrqjz,mantel,mantel,mantel"
20,b,Facilitation Condition Trials,categorized neutral word target + non-word distractor,table,iqnqg,iqnqg,iqnqg,m,"table,iqnqg,iqnqg,iqnqg"
30,e,Disengagement Condition Trials,non-word target + categorised neutral word distractor,iqnqg,table,table,table,z,"iqnqg,table,table,table"
8,a,Facilitation Condition Trials,uncertainty word target + non-word distractor,uncertain,cgpfdjfrq,cgpfdjfrq,cgpfdjfrq,m,"uncertain,cgpfdjfrq,cgpfdjfrq,cgpfdjfrq"
37,e,Disengagement Condition Trials,non-word target + categorised neutral word distractor,grnlpsp,cabinet,cabinet,cabinet,z,"grnlpsp,cabinet,cabinet,cabinet"
46,c,Facilitation Condition Trials,non-word target + non-word distractor,rjuqubbx,jnkwapj,jnkwapj,jnkwapj,z,"rjuqubbx,jnkwapj,jnkwapj,jnkwapj"
26,b,Facilitation Condition Trials,categorized neutral word target + non-word distractor,utensil,smvgxbr,smvgxbr,smvgxbr,m,"utensil,smvgxbr,smvgxbr,smvgxbr"
52,f,Disengagement Condition Trials,uncategorized neutral word target + uncategorized neutral distractor,career,market,market,market,m,"career,market,market,market"
36,e,Disengagement Condition Trials,non-word target + categorised neutral word distractor,smvgxbr,utensil,utensil,utensil,z,"smvgxbr,utensil,utensil,utensil"
55,f,Disengagement Condition Trials,uncategorized neutral word target + uncategorized neutral distractor,instead,forward,forward,forward,m,"instead,forward,forward,forward"
47,c,Facilitation Condition Trials,non-word target + non-word distractor,afjppqyq,grnlpsp,grnlpsp,grnlpsp,z,"afjppqyq,grnlpsp,grnlpsp,grnlpsp"
39,e,Disengagement Condition Trials,non-word target + categorised neutral word distractor,ztqtpuoefr,dishwasher,dishwasher,dishwasher,z,"ztqtpuoefr,dishwasher,dishwasher,dishwasher"
28,b,Facilitation Condition Trials,categorized neutral word target + non-word distractor,appliance,klgwvkzti,klgwvkzti,klgwvkzti,m,"appliance,klgwvkzti,klgwvkzti,klgwvkzti"
52,f,Disengagement Condition Trials,uncategorized neutral word target + uncategorized neutral distractor,career,market,market,market,m,"career,market,market,market"
15,d,Disengagement Condition Trials,non-word target + uncertainty word distractor,lcmnprv,perhaps,perhaps,perhaps,z,"lcmnprv,perhaps,perhaps,perhaps"
19,d,Disengagement Condition Trials,non-word target + uncertainty word distractor,mncbfljdvq,unforeseen,unforeseen,unforeseen,z,"mncbfljdvq,unforeseen,unforeseen,unforeseen"
13,d,Disengagement Condition Trials,non-word target + uncertainty word distractor,tfgnkc,random,random,random,z,"tfgnkc,random,random,random"
4,a,Facilitation Condition Trials,uncertainty word target + non-word distractor,unsure,qddkgm,qddkgm,qddkgm,m,"unsure,qddkgm,qddkgm,qddkgm"
29,b,Facilitation Condition Trials,categorized neutral word target + non-word distractor,dishwasher,ztqtpuoefr,ztqtpuoefr,ztqtpuoefr,m,"dishwasher,ztqtpuoefr,ztqtpuoefr,ztqtpuoefr"
58,f,Disengagement Condition Trials,uncategorized neutral word target + uncategorized neutral distractor,unnatural,cardboard,cardboard,cardboard,m,"unnatural,cardboard,cardboard,cardboard"
7,a,Facilitation Condition Trials,uncertainty word target + non-word distractor,unknown,txvdnbb,txvdnbb,txvdnbb,m,"unknown,txvdnbb,txvdnbb,txvdnbb"
0,a,Facilitation Condition Trials,uncertainty word target + non-word distractor,maybe,trrlep,trrlep,trrlep,m,"maybe,trrlep,trrlep,trrlep"
2,a,Facilitation Condition Trials,uncertainty word target + non-word distractor,chance,hxmwfn,hxmwfn,hxmwfn,m,"chance,hxmwfn,hxmwfn,hxmwfn"
27,b,Facilitation Condition Trials,categorized neutral word target + non-word distractor,cabinet,grnlpsp,grnlpsp,grnlpsp,m,"cabinet,grnlpsp,grnlpsp,grnlpsp"
49,c,Facilitation Condition Trials,non-word target + non-word distractor,wypqdmmxnj,idccpkmmvc,idccpkmmvc,idccpkmmvc,z,"wypqdmmxnj,idccpkmmvc,idccpkmmvc,idccpkmmvc"
23,b,Facilitation Condition Trials,categorized neutral word target + non-word distractor,kettle,kfftyn,kfftyn,kfftyn,m,"kettle,kfftyn,kfftyn,kfftyn"
6,a,Facilitation Condition Trials,uncertainty word target + non-word distractor,unclear,jhldvfd,jhldvfd,jhldvfd,m,"unclear,jhldvfd,jhldvfd,jhldvfd"
59,f,Disengagement Condition Trials,uncategorized neutral word target + uncategorized neutral distractor,skyscraper,unofficial,unofficial,unofficial,m,"skyscraper,unofficial,unofficial,unofficial"
25,b,Facilitation Condition Trials,categorized neutral word target + non-word distractor,picture,pvnxbqy,pvnxbqy,pvnxbqy,m,"picture,pvnxbqy,pvnxbqy,pvnxbqy"
11,d,Disengagement Condition Trials,non-word target + uncertainty word distractor,wrflz,vague,vague,vague,z,"wrflz,vague,vague,vague"
41,c,Facilitation Condition Trials,non-word target + non-word distractor,pglql,mnklu,mnklu,mnklu,z,"pglql,mnklu,mnklu,mnklu"
57,f,Disengagement Condition Trials,uncategorized neutral word target + uncategorized neutral distractor,context,uniform,uniform,uniform,m,"context,uniform,uniform,uniform"
53,f,Disengagement Condition Trials,uncategorized neutral word target + uncategorized neutral distractor,errand,reflex,reflex,reflex,m,"errand,reflex,reflex,reflex"
17,d,Disengagement Condition Trials,non-word target + uncertainty word distractor,txvdnbb,unknown,unknown,unknown,z,"txvdnbb,unknown,unknown,unknown"
21,b,Facilitation Condition Trials,categorized neutral word target + non-word distractor,clock,pwvqs,pwvqs,pwvqs,m,"clock,pwvqs,pwvqs,pwvqs"
5,a,Facilitation Condition Trials,uncertainty word target + non-word distractor,perhaps,lcmnprv,lcmnprv,lcmnprv,m,"perhaps,lcmnprv,lcmnprv,lcmnprv"
12,d,Disengagement Condition Trials,non-word target + uncertainty word distractor,hxmwfn,chance,chance,chance,z,"hxmwfn,chance,chance,chance"
44,c,Facilitation Condition Trials,non-word target + non-word distractor,zjgdys,gwmwql,gwmwql,gwmwql,z,"zjgdys,gwmwql,gwmwql,gwmwql"
55,f,Disengagement Condition Trials,uncategorized neutral word target + uncategorized neutral distractor,instead,forward,forward,forward,m,"instead,forward,forward,forward"
39,e,Disengagement Condition Trials,non-word target + categorised neutral word distractor,ztqtpuoefr,dishwasher,dishwasher,dishwasher,z,"ztqtpuoefr,dishwasher,dishwasher,dishwasher"
18,d,Disengagement Condition Trials,non-word target + uncertainty word distractor,cgpfdjfrq,uncertain,uncertain,uncertain,z,"cgpfdjfrq,uncertain,uncertain,uncertain"
51,f,Disengagement Condition Trials,uncategorized neutral word target + uncategorized neutral distractor,tower,vivid,vivid,vivid,m,"tower,vivid,vivid,vivid"
4,a,Facilitation Condition Trials,uncertainty word target + non-word distractor,unsure,qddkgm,qddkgm,qddkgm,m,"unsure,qddkgm,qddkgm,qddkgm"
1,a,Facilitation Condition Trials,uncertainty word target + non-word distractor,vague,wrflz,wrflz,wrflz,m,"vague,wrflz,wrflz,wrflz"
53,f,Disengagement Condition Trials,uncategorized neutral word target + uncategorized neutral distractor,errand,reflex,reflex,reflex,m,"errand,reflex,reflex,reflex"
10,d,Disengagement Condition Trials,non-word target + uncertainty word distractor,trrlep,maybe,maybe,maybe,z,"trrlep,maybe,maybe,maybe"
48,c,Facilitation Condition Trials,non-word target + non-word distractor,sxfghqlxc,bjxdblfvd,bjxdblfvd,bjxdblfvd,z,"sxfghqlxc,bjxdblfvd,bjxdblfvd,bjxdblfvd"
