Condition Index,Condition Type,Stimuli Combination,target,distractor1,distractor2,distractor3,correct_answer,stimuli
c,Facilitation Condition Trials,non-word target + non-word distractor,gwyqg,jsghp,jsghp,jsghp,z,"gwyqg,jsghp,jsghp,jsghp"
c,Facilitation Condition Trials,non-word target + non-word distractor,pglql,mnklu,mnklu,mnklu,z,"pglql,mnklu,mnklu,mnklu"
c,Facilitation Condition Trials,non-word target + non-word distractor,ihwwvp,xywjry,xywjry,xywjry,z,"ihwwvp,xywjry,xywjry,xywjry"
c,Facilitation Condition Trials,non-word target + non-word distractor,sbdmcq,qfzmbb,qfzmbb,qfzmbb,z,"sbdmcq,qfzmbb,qfzmbb,qfzmbb"
c,Facilitation Condition Trials,non-word target + non-word distractor,zjgdys,gwmwql,gwmwql,gwmwql,z,"zjgdys,gwmwql,gwmwql,gwmwql"
c,Facilitation Condition Trials,non-word target + non-word distractor,szknnjbt,pxaciuj,pxaciuj,pxaciuj,z,"szknnjbt,pxaciuj,pxaciuj,pxaciuj"
c,Facilitation Condition Trials,non-word target + non-word distractor,rjuqubbx,jnkwapj,jnkwapj,jnkwapj,z,"rjuqubbx,jnkwapj,jnkwapj,jnkwapj"
c,Facilitation Condition Trials,non-word target + non-word distractor,afjppqyq,grnlpsp,grnlpsp,grnlpsp,z,"afjppqyq,grnlpsp,grnlpsp,grnlpsp"
c,Facilitation Condition Trials,non-word target + non-word distractor,sxfghqlxc,bjxdblfvd,bjxdblfvd,bjxdblfvd,z,"sxfghqlxc,bjxdblfvd,bjxdblfvd,bjxdblfvd"
c,Facilitation Condition Trials,non-word target + non-word distractor,wypqdmmxnj,idccpkmmvc,idccpkmmvc,idccpkmmvc,z,"wypqdmmxnj,idccpkmmvc,idccpkmmvc,idccpkmmvc"
f,Disengagement Condition Trials,uncategorized neutral word target + uncategorized neutral distractor,upward,colour,colour,colour,m,"upward,colour,colour,colour"
f,Disengagement Condition Trials,uncategorized neutral word target + uncategorized neutral distractor,tower,vivid,vivid,vivid,m,"tower,vivid,vivid,vivid"
f,Disengagement Condition Trials,uncategorized neutral word target + uncategorized neutral distractor,career,market,market,market,m,"career,market,market,market"
f,Disengagement Condition Trials,uncategorized neutral word target + uncategorized neutral distractor,errand,reflex,reflex,reflex,m,"errand,reflex,reflex,reflex"
f,Disengagement Condition Trials,uncategorized neutral word target + uncategorized neutral distractor,unused,rattle,rattle,rattle,m,"unused,rattle,rattle,rattle"
f,Disengagement Condition Trials,uncategorized neutral word target + uncategorized neutral distractor,instead,forward,forward,forward,m,"instead,forward,forward,forward"
f,Disengagement Condition Trials,uncategorized neutral word target + uncategorized neutral distractor,noodles,unitary,unitary,unitary,m,"noodles,unitary,unitary,unitary"
f,Disengagement Condition Trials,uncategorized neutral word target + uncategorized neutral distractor,context,uniform,uniform,uniform,m,"context,uniform,uniform,uniform"
f,Disengagement Condition Trials,uncategorized neutral word target + uncategorized neutral distractor,unnatural,cardboard,cardboard,cardboard,m,"unnatural,cardboard,cardboard,cardboard"
f,Disengagement Condition Trials,uncategorized neutral word target + uncategorized neutral distractor,skyscraper,unofficial,unofficial,unofficial,m,"skyscraper,unofficial,unofficial,unofficial"
